Fecha,Promedio,Máximo,Mínimo
2017-10-07,22.41208333333333,31.07,14.89
2017-10-08,20.551666666666666,31.76,11.16
2017-10-09,20.9725,32.31,10.73
2017-10-10,20.743333333333332,31.63,10.44
2017-10-11,20.77958333333333,31.18,11.64
2017-10-12,23.002916666666668,33.7,13.8
2017-10-13,22.742500000000003,32.35,15.02
2017-10-14,22.299583333333334,30.92,13.39
2017-10-15,25.70875,33.54,18.95
2017-10-16,23.935833333333335,30.17,16.28
2017-10-17,18.716666666666665,22.79,14.83
2017-10-18,15.119166666666667,19.54,11.83
2017-10-19,15.27375,20.31,9.57
2017-10-20,20.080000000000002,24.48,16.61
2017-10-21,20.018333333333334,23.87,14.02
2017-10-22,15.511666666666665,23.22,8.63
2017-10-23,15.633333333333333,25.08,9.16
2017-10-24,17.455416666666668,28.81,8.39
2017-10-25,18.2775,28.58,9.21
2017-10-26,18.091666666666665,28.27,10.02
2017-10-27,18.3425,29.94,9.46
2017-10-28,17.142500000000002,26.19,9.31
2017-10-29,15.9625,25.59,8.12
2017-10-30,14.764166666666666,24.06,7.1
2017-10-31,15.370833333333332,23.49,8.79
2017-11-01,16.351666666666667,23.3,8.76
2017-11-02,18.125,21.35,14.22
2017-11-03,16.514166666666668,20.1,13.64
2017-11-04,14.884166666666667,17.58,12.99
2017-11-05,15.163333333333334,20.71,10.72
2017-11-06,11.329583333333334,18.67,5.69
2017-11-07,12.314166666666667,21.96,4.81
2017-11-08,11.659166666666666,18.88,5.32
2017-11-09,9.989583333333334,16.73,4.08
2017-11-10,10.42375,20.72,2.77
2017-11-11,11.302083333333334,21.09,5.3
2017-11-12,10.64625,20.1,4.9
2017-11-13,11.6975,20.39,5.17
2017-11-14,8.658333333333333,16.72,2.44
2017-11-15,9.1325,19.04,1.9
2017-11-16,9.297916666666667,18.35,2.41
2017-11-17,9.942916666666667,20.23,3.34
2017-11-18,10.833333333333334,22.06,4.65
2017-11-19,10.4975,19.88,3.79
2017-11-20,9.615833333333333,20.55,2.61
2017-11-21,9.4675,19.16,2.9
2017-11-22,9.595,18.73,2.65
2017-11-23,13.432083333333333,19.68,8.34
2017-11-24,13.530000000000001,18.98,10.23
2017-11-25,12.355833333333335,17.37,8.86
2017-11-26,9.175833333333333,14.48,3.45
2017-11-27,7.93,14.47,2.1
2017-11-28,8.65125,9.13,8.19
2017-11-29,9.43625,13.27,4.94
2017-11-30,2.0145833333333334,4.07,0.13
2017-12-01,8.07375,13.45,3.63
