Fecha,trend
2006-02-08,16.978147260273975
2006-02-09,17.0006198630137
2006-02-10,17.015142694063925
2006-02-11,17.018390410958904
2006-02-12,17.011535388127854
2006-02-13,17.002269406392692
2006-02-14,16.97936187214612
2006-02-15,16.953035388127855
2006-02-16,16.931707762557078
2006-02-17,16.901622146118722
2006-02-18,16.880979452054795
2006-02-19,16.86878082191781
2006-02-20,16.87311872146119
2006-02-21,16.88198059360731
2006-02-22,16.888285388127855
2006-02-23,16.888449771689498
2006-02-24,16.88526484018265
2006-02-25,16.88106164383562
2006-02-26,16.8801404109589
2006-02-27,16.879673515981736
2006-02-28,16.877240867579907
2006-03-01,16.871319634703195
2006-03-02,16.872795662100458
2006-03-03,16.883128995433793
2006-03-04,16.888868721461186
2006-03-05,16.893166666666666
2006-03-06,16.897479452054796
2006-03-07,16.91549200913242
2006-03-08,16.939695205479453
2006-03-09,16.95926598173516
2006-03-10,16.97494178082192
2006-03-11,16.99430365296804
2006-03-12,17.01278196347032
2006-03-13,17.023856164383563
2006-03-14,17.028937214611872
2006-03-15,17.023011415525115
2006-03-16,17.009737442922376
2006-03-17,16.991778538812788
2006-03-18,16.975410958904114
2006-03-19,16.975905251141555
2006-03-20,16.992930365296807
2006-03-21,17.00829794520548
2006-03-22,17.018188356164387
2006-03-23,17.01428652968037
2006-03-24,17.002390410958903
2006-03-25,16.980493150684936
2006-03-26,16.963748858447488
2006-03-27,16.964025114155252
2006-03-28,16.965954337899547
2006-03-29,16.970963470319635
2006-03-30,16.968430365296804
2006-03-31,16.958060502283107
2006-04-01,16.949631278538817
2006-04-02,16.940861872146122
2006-04-03,16.9406598173516
2006-04-04,16.944858447488585
2006-04-05,16.949122146118725
2006-04-06,16.947352739726032
2006-04-07,16.948805936073065
2006-04-08,16.95674885844749
2006-04-09,16.9636198630137
2006-04-10,16.967931506849318
2006-04-11,16.97207876712329
2006-04-12,16.973718036529682
2006-04-13,16.969190639269407
2006-04-14,16.977544520547948
2006-04-15,16.99026141552512
2006-04-16,16.99817465753425
2006-04-17,17.000107305936073
2006-04-18,17.004432648401824
2006-04-19,17.00850684931507
2006-04-20,17.011149543379
2006-04-21,17.019108447488584
2006-04-22,17.026039954337904
2006-04-23,17.034453196347037
2006-04-24,17.04207077625571
2006-04-25,17.04796461187215
2006-04-26,17.05946575342466
2006-04-27,17.05906506849315
2006-04-28,17.056878995433788
2006-04-29,17.072481735159815
2006-04-30,17.08170890410959
2006-05-01,17.082052511415526
2006-05-02,17.091801369863013
2006-05-03,17.095390410958906
2006-05-04,17.098327625570775
2006-05-05,17.10747374429224
2006-05-06,17.10926369863014
2006-05-07,17.12019863013699
2006-05-08,17.134642694063928
2006-05-09,17.147599315068494
2006-05-10,17.161769406392693
2006-05-11,17.175381278538815
2006-05-12,17.18841095890411
2006-05-13,17.195570776255707
2006-05-14,17.197825342465755
2006-05-15,17.205194063926943
2006-05-16,17.207497716894977
2006-05-17,17.215341324200914
2006-05-18,17.225375570776258
2006-05-19,17.229973744292238
2006-05-20,17.23519406392694
2006-05-21,17.237401826484017
2006-05-22,17.238906392694062
2006-05-23,17.24209589041096
2006-05-24,17.248780821917812
2006-05-25,17.264543378995434
2006-05-26,17.292979452054794
2006-05-27,17.305391552511416
2006-05-28,17.315852739726026
2006-05-29,17.326182648401826
2006-05-30,17.33439611872146
2006-05-31,17.348545662100456
2006-06-01,17.362728310502284
2006-06-02,17.369828767123288
2006-06-03,17.36367123287671
2006-06-04,17.36047602739726
2006-06-05,17.36678196347032
2006-06-06,17.368463470319636
2006-06-07,17.377670091324205
2006-06-08,17.388000000000005
2006-06-09,17.399987442922377
2006-06-10,17.399606164383563
2006-06-11,17.395907534246582
2006-06-12,17.39953652968037
2006-06-13,17.40309589041096
2006-06-14,17.405606164383563
2006-06-15,17.408318493150688
2006-06-16,17.41245205479452
2006-06-17,17.419253424657533
2006-06-18,17.42341095890411
2006-06-19,17.425034246575343
2006-06-20,17.42745662100457
2006-06-21,17.414573059360734
2006-06-22,17.39777168949772
2006-06-23,17.384847031963474
2006-06-24,17.38355365296804
2006-06-25,17.381424657534247
2006-06-26,17.37281392694064
2006-06-27,17.364189497716897
2006-06-28,17.350381278538812
2006-06-29,17.346753424657535
2006-06-30,17.33980365296804
2006-07-01,17.32641780821918
2006-07-02,17.32263698630137
2006-07-03,17.321793378995437
2006-07-04,17.322589041095892
2006-07-05,17.319022831050226
2006-07-06,17.318651826484018
2006-07-07,17.316559360730594
2006-07-08,17.306228310502284
2006-07-09,17.3035
2006-07-10,17.308837899543377
2006-07-11,17.311402968036532
2006-07-12,17.31222374429224
2006-07-13,17.305990867579908
2006-07-14,17.307526255707764
2006-07-15,17.31228424657534
2006-07-16,17.316801369863015
2006-07-17,17.322464611872146
2006-07-18,17.33093493150685
2006-07-19,17.339247716894977
2006-07-20,17.345985159817353
2006-07-21,17.347412100456623
2006-07-22,17.34396689497717
2006-07-23,17.34375913242009
2006-07-24,17.346421232876715
2006-07-25,17.34221803652968
2006-07-26,17.339405251141553
2006-07-27,17.3338299086758
2006-07-28,17.326582191780822
2006-07-29,17.324954337899545
2006-07-30,17.3302100456621
2006-07-31,17.34544406392694
2006-08-01,17.353070776255706
2006-08-02,17.3626095890411
2006-08-03,17.362117579908677
2006-08-04,17.36068493150685
2006-08-05,17.36117579908676
2006-08-06,17.371003424657534
2006-08-07,17.38257305936073
2006-08-08,17.390745433789956
2006-08-09,17.40175913242009
2006-08-10,17.414765981735158
2006-08-11,17.42842922374429
2006-08-12,17.444736301369865
2006-08-13,17.459390410958903
2006-08-14,17.47105365296804
2006-08-15,17.47735388127854
2006-08-16,17.49001712328767
2006-08-17,17.491776255707762
2006-08-18,17.491821917808217
2006-08-19,17.49022488584475
2006-08-20,17.49212100456621
2006-08-21,17.489189497716893
2006-08-22,17.490978310502282
2006-08-23,17.488536529680363
2006-08-24,17.506197488584476
2006-08-25,17.530602739726028
2006-08-26,17.548666666666666
2006-08-27,17.56740525114155
2006-08-28,17.581715753424657
2006-08-29,17.593657534246574
2006-08-30,17.612843607305937
2006-08-31,17.629859589041097
2006-09-01,17.64379109589041
2006-09-02,17.655388127853882
2006-09-03,17.654873287671233
2006-09-04,17.659908675799088
2006-09-05,17.664697488584476
2006-09-06,17.668350456621006
2006-09-07,17.664257990867583
2006-09-08,17.661574200913243
2006-09-09,17.661700913242008
2006-09-10,17.64725799086758
2006-09-11,17.636331050228314
2006-09-12,17.63005136986302
2006-09-13,17.62762785388128
2006-09-14,17.6246598173516
2006-09-15,17.62194178082192
2006-09-16,17.62634474885845
2006-09-17,17.631633561643838
2006-09-18,17.632399543378995
2006-09-19,17.62824315068493
2006-09-20,17.61561073059361
2006-09-21,17.607453196347034
2006-09-22,17.603760273972604
2006-09-23,17.594324200913242
2006-09-24,17.586676940639272
2006-09-25,17.571979452054798
2006-09-26,17.56079223744292
2006-09-27,17.557063926940643
2006-09-28,17.553139269406394
2006-09-29,17.546958904109587
2006-09-30,17.53395091324201
2006-10-01,17.515134703196345
2006-10-02,17.49766894977169
2006-10-03,17.48078310502283
2006-10-04,17.462809360730596
2006-10-05,17.451696347031962
2006-10-06,17.439749999999997
2006-10-07,17.425567351598175
2006-10-08,17.412949771689497
2006-10-09,17.397181506849314
2006-10-10,17.387327625570776
2006-10-11,17.387820776255708
2006-10-12,17.379351598173514
2006-10-13,17.372819634703195
2006-10-14,17.37178424657534
2006-10-15,17.37642808219178
2006-10-16,17.38519406392694
2006-10-17,17.39410273972603
2006-10-18,17.4046700913242
